%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085369327666050,4859,1732085369327254772,map,9.217063101161074,-2.2063203704043914,1.3797390493890078,0.0,0.0,0.0,1.0
1732085369428490346,4860,1732085369428097724,map,9.223830868447799,-2.1486237882239023,1.4392471283091586,0.0,0.0,0.0,1.0
1732085369528498793,4861,1732085369527900457,map,9.237625626063652,-2.061822581937697,1.4902151264994834,0.0,0.0,0.0,1.0
1732085369628373893,4862,1732085369627839565,map,9.255920798559607,-1.9465309250449687,1.456739060693386,0.0,0.0,0.0,1.0
1732085369727716463,4863,1732085369727404832,map,9.263528715358783,-1.8951642437828853,1.4713839186197315,0.0,0.0,0.0,1.0
1732085369828174577,4864,1732085369827684402,map,9.281497618795107,-1.7925522642457612,1.404376041089854,0.0,0.0,0.0,1.0
1732085369928609636,4865,1732085369928054809,map,9.301077760049148,-1.680328556878176,1.3431356630626319,0.0,0.0,0.0,1.0
1732085370029248761,4866,1732085370028711318,map,9.314403448181357,-1.5842045822679158,1.2856429816071373,0.0,0.0,0.0,1.0
1732085370128309846,4867,1732085370128177642,map,9.323125079924,-1.4896102324784535,1.2574472816753028,0.0,0.0,0.0,1.0
1732085370228303299,4868,1732085370227869510,map,9.332254210384646,-1.4148415551411033,1.2521356421085987,0.0,0.0,0.0,1.0
1732085370327105956,4869,1732085370326986074,map,9.34950872587768,-1.3288928886047477,1.2408516313588323,0.0,0.0,0.0,1.0
1732085370427907889,4870,1732085370427434682,map,9.377066529366836,-1.2452918394987098,1.2351381478128818,0.0,0.0,0.0,1.0
1732085370529364798,4871,1732085370528836727,map,9.413120013892467,-1.1381169340451405,1.2610239594373822,0.0,0.0,0.0,1.0
1732085370629524293,4872,1732085370629450321,map,9.430558416030173,-1.0531535455233065,1.3630736834055273,0.0,0.0,0.0,1.0
